0   1  2
0   103  1
1   1  7
1   2  9
1   66  1
2   1  4
2   19  1
2   32  1
2   33  1
2   35  1
2   39  1
2   45  1
2   47  3
2   48  3
2   54  1
2   69  1
2   98  1
2   103  1
3   1  11
3   2  4
3   11  6
3   14  1
3   17  2
3   27  1
3   52  1
3   53  3
3   67  1
3   103  2
4   1  208
4   11  1
4   17  3
4   27  1
4   39  5
4   45  3
4   52  4
4   53  1
4   54  1
4   67  1
4   103  5
5   1  2
5   2  1
6   1  10
6   2  4
6   8  1
6   17  1
6   19  1
6   21  2
6   22  2
6   28  1
6   33  1
6   37  1
6   39  2
6   45  5
6   47  9
6   48  2
6   52  3
6   57  1
6   69  1
6   71  1
6   83  1
6   85  1
6   98  1
6   100  1
7   1  72
7   2  51
7   33  1
7   39  1
7   49  1
7   52  1
7   66  1
7   103  3
8   1  6
8   2  3
8   66  1
9   1  3
9   2  4
9   11  4
9   13  3
9   27  1
9   52  3
9   54  2
9   55  2
9   56  2
9   67  1
9   71  1
9   89  1
9   103  3
9   104  1
10   1  4
10   13  2
10   14  1
10   19  3
10   27  8
10   37  1
10   49  3
10   52  9
10   54  2
10   55  1
10   62  1
10   103  1
11   1  3
11   2  2
11   11  23
11   17  2
11   27  5
11   39  4
11   52  1
11   55  1
11   56  1
12   1  4
12   2  1
13   1  4
13   19  1
13   39  1
13   91  1
14   1  2
14   39  2
14   54  1
14   66  1
15   1  2
15   102  1
16   1  2
16   2  1
17   1  2
17   28  1
17   43  1
17   52  3
17   62  1
17   98  4
17   103  1
18   1  1
19   1  2
19   2  1
19   39  4
19   66  1
20   1  6
20   2  1
20   8  1
20   27  1
20   52  5
20   53  1
20   83  1
20   89  2
20   103  2
21   1  1
21   6  4
21   12  1
21   17  1
21   22  1
21   39  1
21   45  2
21   47  1
21   48  4
21   49  1
21   52  1
21   54  2
21   108  3
21   110  8
22   1  15
22   2  5
22   6  1
22   8  2
22   13  4
22   14  2
22   17  1
22   18  1
22   19  1
22   22  1
22   27  15
22   39  1
22   45  1
22   47  13
22   48  7
22   49  1
22   50  1
22   51  1
22   52  3
22   54  2
22   55  5
22   56  1
22   63  3
22   103  5
22   104  4
22   108  1
22   110  2
23   1  7
23   2  3
23   27  5
23   32  1
23   48  1
23   52  3
23   54  2
23   56  1
23   103  3
24   1  2
24   18  1
24   27  5
24   32  1
24   33  1
24   39  2
24   47  7
24   48  6
