WORD                    POSITION
1:  995 1033 1053 1205 1373 
2:  996 1034 1206 1374 
ability:  191 
about:  258 
accept:  868 
according:  553 562 
active:  426 
actively:  581 
activities:  325 435 
actually:  193 
added:  385 
additional:  1589 
adjusted:  1296 
aera:  1015 
after:  61 218 377 
aims:  516 
air:  662 1185 
aircraft:  673 
alan:  1520 
alike:  1587 
all:  85 
already:  473 
alternatives:  702 
although:  636 
amount:  389 
an:  286 840 900 1344 
analysis:  1345 1446 
annett:  1471 
another:  318 
answer:  77 488 
answers:  375 
any:  443 
apparatus:  1083 
applied:  23 1027 
apply:  1592 
appropriate:  574 600 
are:  65 326 520 525 560 586 609 818 835 
arranged:  119 572 
arrangements:  585 
arrives:  463 
art:  1462 
article:  1565 
as:  184 231 407 439 459 727 754 792 984 
asked:  667 
association:  1290 1368 1513 
at:  84 279 293 314 355 913 
audience:  336 
audiovisual:  1364 
automatic:  1104 1399 1410 
av:  1187 
available:  1581 
basic:  400 
basically:  1378 
be:  117 148 529 591 794 805 810 824 853 
become:  136 
been:  451 474 548 666 
behaviorism:  772 
behaviour:  538 
behaviourist:  731 763 
best:  859 
better:  718 
between:  363 417 
book:  115 894 
both:  881 889 896 917 930 943 
bower:  1130 
broadly:  495 
but:  454 1588 
can:  528 793 809 822 
cecco:  1488 
centre:  1322 
changing:  1302 
chapter:  1124 
chapters:  1052 
choice:  682 
chosen:  707 
clear:  946 
clues:  344 
commented:  395 
comments:  250 
commons:  1585 
communication:  1188 
complete:  506 776 
concept:  1303 
conclusions:  267 
concrete:  813 
confirmed:  592 
connections:  416 
conscript:  203 
constructed:  561 
content:  933 
correct:  76 374 
could:  116 147 
course:  519 
cover:  709 
creative:  1584 
criteria:  1307 
critical:  440 
criticisms:  739 
crowder:  1388 1396 
cultural:  832 
data:  1506 
de:  1487 
demonstrated:  189 
department:  1362 
develop:  1550 
developed:  176 183 
developments:  196 
devices:  1216 
devised:  164 
different:  625 920 
directed:  129 
discuss:  646 
discussion:  622 
done:  18 126 244 475 
drill:  1107 
each:  62 691 
easily:  823 
education:  215 861 1289 1336 1367 1512 
educational:  875 981 1156 1466 1485 
edward:  101 
effective:  406 738 
effectiveness:  239 966 
eigen:  1024 
elements:  441 
emphasis:  208 
emphasised:  945 
equipment:  821 
equivalent:  959 
even:  397 
exactly:  481 
example:  777 
examples:  695 1384 
except:  831 
exciting:  841 
experiment:  354 419 
experimental:  1148 1212 
experiments:  1169 
extent:  901 
fact:  870 
features:  300 
feedback:  432 689 
few:  266 
film:  230 302 312 367 401 1245 
films:  242 254 276 
first:  160 1062 
four:  641 
frame:  1045 
frames:  1039 
from:  270 328 391 478 796 1200 1258 1297 1568 
gage:  1007 
galanter:  1407 
general:  299 
getting:  294 
given:  66 91 376 629 
gives:  343 1085 
giving:  280 
glaser:  1220 1273 1350 1496 
goes:  313 
good:  1038 
grammar:  1043 
great:  207 278 
group:  233 
guided:  15 
had:  125 379 450 472 665 
hadsell:  1238 
half:  452 
handbook:  1009 
harvard:  1465 
he:  664 
heart:  370 
helpful:  431 621 
helps:  8 
here:  647 
hilgard:  1115 1127 
him:  123 
his:  157 744 779 789 1433 
history:  1073 
holland:  1439 
hovland:  1161 
how:  1548 
hugely:  340 
hypertext:  1072 
